COD_ROD;KM_ini.1;KM_FIM;Dist;Geo2
SP 008;34,52;37,14;2,62;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5824219,-23.3155179],[-46.5799679,-23.3136519],[-46.5788839,-23.3127389],[-46.5772549,-23.3113639],[-46.5769059,-23.3113669],[-46.5758819,-23.3115849],[-46.5748939,-23.3111599],[-46.5746069,-23.3108279],[-46.5733709,-23.3084749],[-46.5730699,-23.3083709],[-46.5728339,-23.3081499],[-46.5722169,-23.3073209],[-46.5722029,-23.3073029],[-46.5720089,-23.3072309],[-46.5716909,-23.3073139],[-46.5710969,-23.3077629],[-46.5704079,-23.3078389],[-46.5698839,-23.3081739],[-46.5696639,-23.3081779],[-46.5694419,-23.3080499],[-46.5678239,-23.3059239],[-46.5668979,-23.3041299],[-46.5666729,-23.3026439],[-46.5666169,-23.3022809],[-46.5671289,-23.3016179],[-46.5670699,-23.3015689]]]}"
SP 008;37,14;38,54;1,4;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5670699,-23.3015689],[-46.5654819,-23.2998749],[-46.5649649,-23.2994509],[-46.5640839,-23.2989049],[-46.5638389,-23.2986319],[-46.5630509,-23.2969139],[-46.5625329,-23.2963639],[-46.5616379,-23.2958289],[-46.5613899,-23.2956799],[-46.5611629,-23.2954629],[-46.5607849,-23.2948649],[-46.5601969,-23.2938619],[-46.5599439,-23.2937029],[-46.5593189,-23.2935339],[-46.5582019,-23.2927459],[-46.5581959,-23.2927279]]]}"
SP 008;38,54;43,45;4,91;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5581959,-23.2927279],[-46.5581369,-23.2924619],[-46.5583599,-23.2917949],[-46.5580949,-23.2911729],[-46.5578809,-23.2909039],[-46.5557729,-23.2902819],[-46.5558069,-23.2892729],[-46.5563329,-23.2886779],[-46.5566369,-23.2884949],[-46.5574339,-23.2885289],[-46.5576929,-23.2886509],[-46.5581879,-23.2886779],[-46.5585429,-23.2885369],[-46.5589249,-23.2886299],[-46.5594149,-23.2893179],[-46.5601049,-23.2898809],[-46.5605579,-23.2898909],[-46.5613289,-23.2896289],[-46.5617399,-23.2890469],[-46.5619759,-23.2888649],[-46.5623159,-23.2888259],[-46.5626659,-23.2890299],[-46.5629749,-23.2893319],[-46.5636199,-23.2901609],[-46.5638219,-23.2903189],[-46.5642419,-23.2903129],[-46.5655979,-23.2895629],[-46.5663799,-23.2897119],[-46.5682459,-23.2897289],[-46.5686879,-23.2898709],[-46.5702419,-23.2906929],[-46.5706129,-23.2908109],[-46.5710489,-23.2907439],[-46.5718649,-23.2903779],[-46.5721719,-23.2900919],[-46.5735869,-23.2882329],[-46.5736839,-23.2878419],[-46.5736379,-23.2874579],[-46.5737139,-23.2862899],[-46.5748909,-23.2853609],[-46.5756539,-23.2846309],[-46.5756669,-23.2844239],[-46.5750629,-23.2835139],[-46.5749419,-23.2829309],[-46.5742769,-23.2823299],[-46.5726929,-23.2811849],[-46.5726309,-23.2810219],[-46.5728139,-23.2802549],[-46.5733059,-23.2797019],[-46.5733309,-23.2794639],[-46.5731179,-23.2790389],[-46.5732219,-23.2786279],[-46.5734389,-23.2783409],[-46.5736039,-23.2783129],[-46.5744319,-23.2784479],[-46.5749129,-23.2784169],[-46.5755889,-23.2786999],[-46.5758869,-23.2786729],[-46.5759969,-23.2784449],[-46.5759009,-23.2782099],[-46.5751239,-23.2777609]]]}"
SP 008;43,45;45,2;1,75;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5751239,-23.2777609],[-46.5750959,-23.2777429],[-46.5745329,-23.2772899],[-46.5745699,-23.2771209],[-46.5747529,-23.2770349],[-46.5749099,-23.2768469],[-46.5747949,-23.2761629],[-46.5748569,-23.2759729],[-46.5750369,-23.2758249],[-46.5768609,-23.2752339],[-46.5772069,-23.2750369],[-46.5772909,-23.2749889],[-46.5774039,-23.2747809],[-46.5773249,-23.2736609],[-46.5774059,-23.2732919],[-46.5789319,-23.2726029],[-46.5797459,-23.2719269],[-46.5805579,-23.2714289],[-46.5807219,-23.2710069],[-46.5809519,-23.2706849],[-46.5824329,-23.2689439],[-46.5828019,-23.2685119],[-46.5832489,-23.2682699],[-46.5839359,-23.2683839]]]}"
SP 008;45,2;46,7;1,5;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5839359,-23.2683839],[-46.5838599,-23.2676409],[-46.5841749,-23.2650939],[-46.5852499,-23.2636559],[-46.5857369,-23.2632649],[-46.5862829,-23.2627019],[-46.5903269,-23.2585099]]]}"
SP 008;46,7;48,55;1,85;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5903269,-23.2585099],[-46.5901609,-23.2583859],[-46.5904479,-23.2578429],[-46.5909909,-23.2573239],[-46.5910699,-23.2569759],[-46.5909099,-23.2561009],[-46.5908959,-23.2560839],[-46.5905469,-23.2557109],[-46.5905019,-23.2554889],[-46.5906399,-23.2549809],[-46.5909829,-23.2545249],[-46.5918439,-23.2538059],[-46.5919449,-23.2535359],[-46.5919169,-23.2532739],[-46.5917259,-23.2530629],[-46.5908959,-23.2525859],[-46.5903719,-23.2517639],[-46.5899549,-23.2513519],[-46.5898259,-23.2510799],[-46.5890489,-23.2482829],[-46.5888579,-23.2475919],[-46.5888549,-23.2471419],[-46.5889879,-23.2468529],[-46.5892469,-23.2465999],[-46.5896179,-23.2464589],[-46.5899469,-23.2464379],[-46.5907069,-23.2468519],[-46.5917879,-23.2471419],[-46.5925019,-23.2472049],[-46.5926039,-23.2471499]]]}"
SP 008;48,55;50,2;1,65;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5926039,-23.2471499],[-46.5928369,-23.2470219],[-46.5938589,-23.2458329],[-46.5942729,-23.2451589],[-46.5943069,-23.2440949],[-46.5944019,-23.2438319],[-46.5946239,-23.2436489],[-46.5949089,-23.2435789],[-46.5961439,-23.2434829],[-46.5963869,-23.2433719],[-46.5968899,-23.2428609],[-46.5976499,-23.2413609],[-46.5980829,-23.2397299],[-46.5987439,-23.2382949],[-46.5992539,-23.2375389],[-46.6012069,-23.2355059],[-46.6013839,-23.2352229]]]}"
SP 008;50,2;52;1,8;"{""type"":""MultiLineString"",""coordinates"":[[[-46.6013839,-23.2352229],[-46.6010359,-23.2341649],[-46.6009989,-23.2338299],[-46.6006919,-23.2334359],[-46.6004839,-23.2333599],[-46.6002619,-23.2333879],[-46.5987479,-23.2337429],[-46.5985079,-23.2337329],[-46.5981989,-23.2335009],[-46.5979629,-23.2329969],[-46.5979229,-23.2327969],[-46.5980809,-23.2318359],[-46.5979929,-23.2316419],[-46.5976049,-23.2313069],[-46.5965579,-23.2311239],[-46.5961499,-23.2308359],[-46.5962489,-23.2306019],[-46.5974889,-23.2302119],[-46.5976469,-23.2299789],[-46.5975659,-23.2286739],[-46.5972479,-23.2280229],[-46.5967889,-23.2273499],[-46.5968759,-23.2263369],[-46.5963839,-23.2256219],[-46.5959589,-23.2255209],[-46.5956599,-23.2252829],[-46.5954769,-23.2249549],[-46.5951569,-23.2237309]]]}"
SP 008;52;53,4;1,4;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5951569,-23.2237309],[-46.5945849,-23.2211799],[-46.5943879,-23.2189579],[-46.5943829,-23.2172479],[-46.5934149,-23.2142919],[-46.5934959,-23.2139989],[-46.5928909,-23.2122399]]]}"
SP 008;53,4;55;1,6;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5928909,-23.2122399],[-46.5926859,-23.2116069],[-46.5924179,-23.2112649],[-46.5900679,-23.2099589],[-46.5898829,-23.2097859],[-46.5894859,-23.2091179],[-46.5887869,-23.2062359],[-46.5884299,-23.2052899],[-46.5885089,-23.2050439],[-46.5892969,-23.2044009],[-46.5894149,-23.2041669],[-46.5894119,-23.2038999],[-46.5888099,-23.2024139],[-46.5884299,-23.2011389],[-46.5879749,-23.2002219],[-46.5873329,-23.1984019],[-46.5871189,-23.1974719],[-46.5863759,-23.1956359],[-46.5860999,-23.1953189],[-46.5859229,-23.1948449]]]}"
